Ensembl IDs ,FLOXNASH1,FLOXNASH2,FLOXNASH3,FLOXNASH4,FLOXNASH5,FLOXNASH6,FLOXCD1,FLOXCD2,FLOXCD3,FLOXCD4
ENSMUSG00000032080,15496,23492,15393,17001,18180,28630,493,349,440,834
ENSMUSG00000066441,560,579,476,743,473,764,2570,2626,2396,3625
ENSMUSG00000058258,200,151,177,314,216,334,2248,3300,2689,5022
ENSMUSG00000030278,2000,4602,4288,4526,3752,8246,106,94,85,101
ENSMUSG00000001467,839,980,904,1082,1168,1154,5406,6746,6178,11246
ENSMUSG00000022351,192,95,61,135,106,161,2012,2712,2352,5633
ENSMUSG00000042041,1254,1690,1162,2008,1109,2472,162,158,82,174
ENSMUSG00000030483,121,75,116,133,98,134,826,1423,805,1917
ENSMUSG00000107198,520,457,454,589,446,709,57,53,53,61
ENSMUSG00000024799,1420,2164,1245,2127,2218,1970,5924,7398,4800,9203
ENSMUSG00000026822,2282,1757,959,1493,1092,1359,45,54,45,141
ENSMUSG00000031349,444,471,444,598,627,908,2490,2981,2356,4581
ENSMUSG00000049723,445,612,173,543,294,670,7,4,2,6
ENSMUSG00000061780,1089,2105,1326,3641,3846,3045,9,0,7,15
ENSMUSG00000027952,401,331,453,598,502,559,1694,1814,1602,2189
ENSMUSG00000048368,440,497,346,429,518,548,79,99,70,107
ENSMUSG00000001506,883,668,828,893,555,1261,84,117,71,88
ENSMUSG00000031604,1882,1423,1450,1522,1723,1682,5826,13106,6102,15082
ENSMUSG00000040111,290,437,345,437,309,464,65,69,55,96
ENSMUSG00000025002,55,139,75,251,86,135,862,692,744,1337
ENSMUSG00000033105,947,868,827,1009,1193,1022,2606,2887,2733,4810
ENSMUSG00000029254,377,265,226,195,241,263,8,12,10,26
ENSMUSG00000026043,1685,1560,1559,2396,1502,3004,401,394,237,407
ENSMUSG00000021208,1366,1649,990,1379,546,1756,84,106,81,227
ENSMUSG00000040505,12503,14871,9359,13652,13801,13575,4562,4488,3323,4872
ENSMUSG00000020926,4624,4272,2789,3581,3402,3655,676,806,794,1068
ENSMUSG00000021670,2541,1707,1756,2816,2325,2033,7060,8267,10559,19021
ENSMUSG00000066687,683,1226,1016,1238,775,1091,134,113,83,261
ENSMUSG00000032018,14017,12952,11140,15474,15482,16931,29489,28505,26569,38016
ENSMUSG00000028655,5255,4916,6816,9104,8793,10156,1263,711,1041,1485
ENSMUSG00000035372,2048,2866,2757,3756,4079,4240,703,729,541,926
ENSMUSG00000018566,157,179,159,170,276,239,16,22,7,23
ENSMUSG00000023057,5000,9060,4756,6401,7039,6900,1859,1141,1290,2138
ENSMUSG00000010307,1552,1421,559,969,948,1310,193,191,136,163
ENSMUSG00000001095,11,1,6,1,13,11,121,135,116,201
