Module,Gene
Cell_Cycle_Arrest_p53_p21_p16_pRB,TP53
Cell_Cycle_Arrest_p53_p21_p16_pRB,CDKN1A
Cell_Cycle_Arrest_p53_p21_p16_pRB,CDKN2A
Cell_Cycle_Arrest_p53_p21_p16_pRB,RB1
Cell_Cycle_Arrest_p53_p21_p16_pRB,CDK2
Cell_Cycle_Arrest_p53_p21_p16_pRB,CDK4
Cell_Cycle_Arrest_p53_p21_p16_pRB,CDK6
Cell_Cycle_Arrest_p53_p21_p16_pRB,E2F1
Cell_Cycle_Arrest_p53_p21_p16_pRB,CCND1
Cell_Cycle_Arrest_p53_p21_p16_pRB,CCNE1
Cell_Cycle_Arrest_p53_p21_p16_pRB,CCNA2
Cell_Cycle_Arrest_p53_p21_p16_pRB,MDM2
Cell_Cycle_Arrest_p53_p21_p16_pRB,MDM4
DNA_Damage_Response_DDR_Telomere,ATM
DNA_Damage_Response_DDR_Telomere,ATR
DNA_Damage_Response_DDR_Telomere,CHEK1
DNA_Damage_Response_DDR_Telomere,CHEK2
DNA_Damage_Response_DDR_Telomere,TP53BP1
DNA_Damage_Response_DDR_Telomere,H2AFX
DNA_Damage_Response_DDR_Telomere,PARP1
DNA_Damage_Response_DDR_Telomere,TERT
DNA_Damage_Response_DDR_Telomere,TERF1
DNA_Damage_Response_DDR_Telomere,TERF2
DNA_Damage_Response_DDR_Telomere,POT1
DNA_Damage_Response_DDR_Telomere,RTEL1
DNA_Damage_Response_DDR_Telomere,DCLRE1C
DNA_Damage_Response_DDR_Telomere,WRN
SASP_Cytokines_Chemokines,IL6
SASP_Cytokines_Chemokines,CXCL8
SASP_Cytokines_Chemokines,IL1A
SASP_Cytokines_Chemokines,IL1B
SASP_Cytokines_Chemokines,TNF
SASP_Cytokines_Chemokines,CCL2
SASP_Cytokines_Chemokines,CCL5
SASP_Cytokines_Chemokines,CXCL1
SASP_Cytokines_Chemokines,CXCL2
SASP_Cytokines_Chemokines,CXCL3
SASP_Cytokines_Chemokines,CXCL10
SASP_Cytokines_Chemokines,LIF
SASP_Cytokines_Chemokines,CSF2
SASP_GrowthFactors_TGF_Signals,TGFB1
SASP_GrowthFactors_TGF_Signals,TGFB2
